rxn_id,ok,rmsd,ref_d1,ref_d2,gen_d1,gen_d2,dd1,dd2
138,True,0.8384538823803737,2.736041653301353,2.5520570475206856,2.753492746982639,2.43321059470507,0.017451093681285723,-0.11884645281561568
139,True,0.9317297264768697,2.5954653259097875,2.5481799600499175,2.5196698410716434,2.182759022524474,-0.07579548483814413,-0.36542093752544336
140,True,0.7226026306065981,2.193578261517013,2.1001606627589235,2.539905302074469,2.242098592712417,0.3463270405574561,0.1419379299534933
141,True,0.3407183689285571,2.2867642616369532,2.0091534236588307,2.720806527593978,2.474869164452537,0.43404226595702466,0.46571574079370626
142,True,0.20223958719067356,2.5458019232846847,2.0087954563120656,2.407522660323055,2.2244718854013414,-0.13827926296162962,0.21567642908927587
143,True,0.17089467002921682,2.554942161556695,1.9869347881347288,2.480792019854546,2.2242402526676384,-0.07415014170214906,0.23730546453290957
144,True,1.3558374385100012,3.277584403703435,2.034527922762428,2.9934371862055165,2.660148026167905,-0.2841472174979187,0.6256201034054771
145,True,1.1325231148453334,2.186346859283769,2.28332333448419,2.0840138102891737,2.1687642030414462,-0.10233304899459528,-0.11455913144274366
146,True,0.8645512988621993,2.514213718083648,2.161607569865539,2.3213387506406726,2.288567123964906,-0.19287496744297528,0.1269595540993671
147,True,1.3582219966817557,2.415575576234368,1.8452714843350286,2.2560416765833473,2.188718009806197,-0.1595338996510205,0.3434465254711683
148,True,0.20249416425989358,3.046863110413725,2.7206028704866134,2.761714136658065,2.3420531469838597,-0.28514897375566006,-0.37854972350275373
149,True,0.19223028998301178,2.6127127004322537,2.5260093810197937,2.394808410745628,2.5820301043549048,-0.21790428968662567,0.0560207233351111
150,True,0.195927024423145,2.3309949531047898,2.431983025701454,2.495336466550954,2.246575404863812,0.1643415134461641,-0.18540762083764228
151,True,0.5510017205236746,2.4342197142821766,2.375714935466795,2.4573644728991666,2.690185875068301,0.023144758616989947,0.31447093960150596
152,True,0.4409266560309228,3.193505996675128,2.5271909575257663,2.596315754142589,2.268845079227976,-0.5971902425325388,-0.2583458782977903
153,True,0.8125850762008474,2.870149641307923,2.319430414110326,2.5552763221094112,2.277522332686334,-0.3148733191985116,-0.04190808142399227
154,True,0.5034833136588647,2.1476375114995547,2.164473710281555,2.090816343963764,2.405799331981161,-0.056821167535790806,0.2413256216996058
155,True,0.7351333638584931,2.659758605700901,2.4056319207227026,2.6032304838982276,2.4170849683141054,-0.056528121802673414,0.011453047591402754
156,True,0.7374766996908642,2.4798790461431786,2.8512928673322917,2.4400135664881044,2.519052396943343,-0.03986547965507414,-0.33224047038894877
157,True,0.8965561899859416,2.7442088891700647,2.2395438546498703,2.5555006144749797,2.471752950586082,-0.188708274695085,0.23220909593621153
158,True,1.1594604710390455,2.9137738359728607,2.2038977661860812,2.250596038067027,2.5840681800482743,-0.6631777979058335,0.3801704138621931
159,True,0.4980109636310632,2.2384962618016586,2.281910859433383,2.606307674562234,2.3638846506215145,0.36781141276057516,0.08197379118813153
160,True,0.47300864662560826,2.4133972328441913,2.1356238563239547,2.4471894182686387,2.7853368698541656,0.033792185424447396,0.6497130135302109
161,True,0.14527445758390395,2.3008592882225543,2.433213144506662,2.308877107948797,2.424218314824183,0.008017819726242603,-0.00899482968247911
163,True,1.0130366999982816,2.392519203371208,2.063005698416754,2.4605923142300514,2.443832081806154,0.06807311085884349,0.38082638338939967
164,True,1.3185910588949028,2.3970274253750206,2.186955651813726,2.4370221737862785,2.52293025541611,0.03999474841125794,0.3359746036023843
165,True,1.3675651003888456,2.5249746222487066,2.299805722860085,2.6948302974096534,2.2153737236035367,0.1698556751609468,-0.08443199925654854
166,True,0.9592323183698329,2.809775610756133,2.213008652897679,2.400596208069987,2.345385337266565,-0.4091794026861457,0.13237668436888628
167,True,0.47657386337862384,2.9028089082989945,2.949079260277689,2.362480459668185,2.599973766548424,-0.5403284486308095,-0.3491054937292648
168,True,0.451176343313863,2.8281378814690066,3.1764201787232116,2.348653575441683,2.6175143651955377,-0.4794843060273237,-0.5589058135276739
169,True,0.18345740594132529,2.2426014362565634,2.2065075191578205,2.3403748059939034,2.4013685245344996,0.09777336973733997,0.19486100537667905
170,True,0.5998313794713706,2.066694944712451,2.48123886034779,2.271162460568596,2.534242545402077,0.2044675158561451,0.053003685054286986
171,True,0.19579725680297907,2.5310256582263246,2.366539002721062,2.2467394233281706,2.3517469122261008,-0.2842862348981541,-0.014792090494961219
172,True,0.56837724352504,2.051780600868426,2.7510738757983217,2.068160054322682,2.3592325267912866,0.016379453454256065,-0.39184134900703516
173,True,0.4001498421975186,2.8492727919418313,1.9928752951953617,2.2052025044120094,2.107052825895212,-0.6440702875298219,0.11417753069985048
174,True,0.9487533384954047,2.2449858904456392,2.463621747164122,2.347365776205532,2.2940780550203606,0.10237988575989299,-0.16954369214376142
175,True,1.0701640251418336,2.756543329461737,2.1806466628502656,2.5264157772553983,2.579811881342126,-0.23012755220633885,0.39916521849186015
