arm,split,seed,fold,channel,train_mae,test_mae,n_train,n_test
A_diff,component,42,3,disp_dft,0.02339682176211126,1.4179752816427997,1394,387
A_diff,component,42,3,cpcm_dft,0.05123127485421336,2.4284644002646876,1394,387
A_diff,component,42,4,d1_own_dft,0.03541811523877386,2.0119430437042887,1394,387
A_diff,component,42,4,d2_own_dft,0.030479338953048465,1.9287622031328353,1394,387
A_diff,component,42,4,elst_dft,0.07461193262770746,5.1484750033185,1394,387
A_diff,component,42,4,pauli_dft,0.1135835821182938,9.521089054525351,1394,387
A_diff,component,42,4,oi_dft,0.07172767482554253,6.01716970525592,1394,387
A_diff,component,42,4,disp_dft,0.01988423062229416,1.2722571964939606,1394,387
A_diff,component,42,4,cpcm_dft,0.044486901817959695,2.4353978749186624,1394,387
A_diff,component,43,0,d1_own_dft,0.040634750347809424,1.7618429960856912,1393,388
A_diff,component,43,0,d2_own_dft,0.028111456140365143,2.117025493615105,1393,388
A_diff,component,43,0,elst_dft,0.07810030964873545,3.452523770724101,1393,388
A_diff,component,43,0,pauli_dft,0.12937890250858952,6.855768794607201,1393,388
A_diff,component,43,0,oi_dft,0.06962147976681556,3.6362519123712196,1393,388
A_diff,component,43,0,disp_dft,0.021874451168846367,1.2217487647996652,1393,388
A_diff,component,43,0,cpcm_dft,0.04341142619732855,2.482842676723497,1393,388
A_diff,component,43,1,d1_own_dft,0.03412106245846239,1.782062879664821,1394,387
A_diff,component,43,1,d2_own_dft,0.03463944621253057,1.2755078054427593,1394,387
A_diff,component,43,1,elst_dft,0.08094546717517156,4.196714561275166,1394,387
A_diff,component,43,1,pauli_dft,0.13213791980972883,6.826337387032484,1394,387
A_diff,component,43,1,oi_dft,0.08068147962476784,3.840174348521874,1394,387
A_diff,component,43,1,disp_dft,0.02442078347041091,0.9003784785676017,1394,387
A_diff,component,43,1,cpcm_dft,0.05020642911268114,2.1947203070754977,1394,387
A_diff,component,43,2,d1_own_dft,0.03725085233090373,2.2300941660084943,1394,387
A_diff,component,43,2,d2_own_dft,0.031649640835241195,1.9531189909688373,1394,387
A_diff,component,43,2,elst_dft,0.0781189596340806,5.159943816726515,1394,387
A_diff,component,43,2,pauli_dft,0.11843657332874037,9.709596892028431,1394,387
A_diff,component,43,2,oi_dft,0.07355613910288192,5.8599636159238395,1394,387
A_diff,component,43,2,disp_dft,0.025456019068330192,1.3460693332024114,1394,387
A_diff,component,43,2,cpcm_dft,0.04349918265490866,2.9837099954917528,1394,387
A_diff,component,43,3,d1_own_dft,0.032940015577561675,2.5846424899569516,1394,387
A_diff,component,43,3,d2_own_dft,0.02778923054968207,2.2259841549100714,1394,387
A_diff,component,43,3,elst_dft,0.07108241085337416,5.122293973676951,1394,387
A_diff,component,43,3,pauli_dft,0.10572339547184426,9.18217617035363,1394,387
A_diff,component,43,3,oi_dft,0.07488354429744441,4.948349367114704,1394,387
A_diff,component,43,3,disp_dft,0.02035860407191146,1.4094630421709724,1394,387
A_diff,component,43,3,cpcm_dft,0.045524065366201225,2.545085453006946,1394,387
A_diff,component,43,4,d1_own_dft,0.036322503124725285,2.105153980896064,1394,387
A_diff,component,43,4,d2_own_dft,0.03274441132050434,2.0021380423794755,1394,387
A_diff,component,43,4,elst_dft,0.07052137127461697,5.450656642810126,1394,387
A_diff,component,43,4,pauli_dft,0.11838877655589318,9.626160323948069,1394,387
A_diff,component,43,4,oi_dft,0.07386229889480249,6.213011552619436,1394,387
A_diff,component,43,4,disp_dft,0.034771073662104204,1.2676108152183228,1394,387
A_diff,component,43,4,cpcm_dft,0.043846559417113955,2.419472060107909,1394,387
A_diff,component,44,0,d1_own_dft,0.043409523592999814,1.8030009745198816,1393,388
A_diff,component,44,0,d2_own_dft,0.030779826817482963,2.1381224725507892,1393,388
A_diff,component,44,0,elst_dft,0.08163339747986355,3.5026118138593794,1393,388
A_diff,component,44,0,pauli_dft,0.12698247454783984,6.862443923490674,1393,388
A_diff,component,44,0,oi_dft,0.0815558445143953,3.6964804492391163,1393,388
A_diff,component,44,0,disp_dft,0.02184529188206999,1.1734511909791538,1393,388
A_diff,component,44,0,cpcm_dft,0.04807180940813591,2.6350309453373386,1393,388
A_diff,component,44,1,d1_own_dft,0.03753259836594286,1.818208969229633,1394,387
A_diff,component,44,1,d2_own_dft,0.03381783881211426,1.4203395771121796,1394,387
A_diff,component,44,1,elst_dft,0.08848455181660382,4.304987631326548,1394,387
A_diff,component,44,1,pauli_dft,0.135246689868092,6.802630476605678,1394,387
A_diff,component,44,1,oi_dft,0.07973058876146803,3.7932927682232824,1394,387
A_diff,component,44,1,disp_dft,0.03243373454923728,0.9054763965760871,1394,387
A_diff,component,44,1,cpcm_dft,0.05407214905443169,2.3344449933467883,1394,387
A_diff,component,44,2,d1_own_dft,0.08298558808416612,2.2479718703472766,1394,387
A_diff,component,44,2,d2_own_dft,0.0311568295562409,1.9678218359120174,1394,387
