arm,channel,swap_type,n,mae_delta
A_diff,oi_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,2.863848124915503
A_diff,oi_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,4.2506111427756474
A_diff,oi_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,3.3157771561631533
A_diff,oi_dft,*C(=O)C([H])([H])[H]>>*[H],60,7.344436081421207
A_diff,oi_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,4.3445031018966676
A_diff,oi_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,4.102858731312283
A_diff,oi_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,4.369138421917831
A_diff,oi_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,7.308011690325531
A_diff,oi_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,7.449089678069852
A_diff,oi_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,3.448967126387257
A_diff,oi_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,4.057295937054871
A_diff,oi_dft,*C(=O)OC([H])([H])[H]>>*[H],265,5.911249401029699
A_diff,oi_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,4.308795619993819
A_diff,oi_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,2.120828109581589
A_diff,oi_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,1.9811317963237953
A_diff,oi_dft,*C([H])([H])[H]>>*[H],445,4.09063419141091
A_diff,oi_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,4.11800522445696
A_diff,oi_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,7.509555131660631
A_diff,oi_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,3.4342742852622274
