arm,split,channel,bin,n,sign_acc
C_symmetric,component,oi_dft,"[3,5)",1500,0.7753333333333333
C_symmetric,component,oi_dft,"[5,10)",2605,0.8261036468330134
C_symmetric,component,oi_dft,"[10,inf)",2500,0.9324
C_symmetric,component,pauli_dft,"[0,1)",685,0.5065693430656935
C_symmetric,component,pauli_dft,"[1,2)",685,0.618978102189781
C_symmetric,component,pauli_dft,"[2,3)",615,0.6471544715447154
C_symmetric,component,pauli_dft,"[3,5)",1070,0.6925233644859813
C_symmetric,component,pauli_dft,"[5,10)",2055,0.8437956204379562
C_symmetric,component,pauli_dft,"[10,inf)",4570,0.9221006564551423
C_symmetric,swaptype_holdout,cpcm_dft,"[0,1)",1345,0.6126394052044609
C_symmetric,swaptype_holdout,cpcm_dft,"[1,2)",1510,0.7384105960264901
C_symmetric,swaptype_holdout,cpcm_dft,"[2,3)",1185,0.790717299578059
C_symmetric,swaptype_holdout,cpcm_dft,"[3,5)",1840,0.903804347826087
C_symmetric,swaptype_holdout,cpcm_dft,"[5,10)",2465,0.9784989858012171
C_symmetric,swaptype_holdout,cpcm_dft,"[10,inf)",1335,0.9977528089887641
C_symmetric,swaptype_holdout,d1_own_dft,"[0,1)",1730,0.7699421965317919
C_symmetric,swaptype_holdout,d1_own_dft,"[1,2)",1380,0.8927536231884058
C_symmetric,swaptype_holdout,d1_own_dft,"[2,3)",990,0.9454545454545454
C_symmetric,swaptype_holdout,d1_own_dft,"[3,5)",1275,0.9349019607843138
C_symmetric,swaptype_holdout,d1_own_dft,"[5,10)",1660,0.9837349397590361
C_symmetric,swaptype_holdout,d1_own_dft,"[10,inf)",2645,1.0
C_symmetric,swaptype_holdout,d2_own_dft,"[0,1)",1725,0.712463768115942
C_symmetric,swaptype_holdout,d2_own_dft,"[1,2)",1310,0.8183206106870229
C_symmetric,swaptype_holdout,d2_own_dft,"[2,3)",915,0.8590163934426229
C_symmetric,swaptype_holdout,d2_own_dft,"[3,5)",1430,0.9587412587412587
C_symmetric,swaptype_holdout,d2_own_dft,"[5,10)",1945,0.9840616966580977
C_symmetric,swaptype_holdout,d2_own_dft,"[10,inf)",2355,1.0
C_symmetric,swaptype_holdout,disp_dft,"[0,1)",2665,0.7039399624765479
