arm,split,seed,channel,n,mae_delta,median_err,sign_acc,spearman,slope
C_symmetric,component,42,pauli_dft,1936.0,7.657088542360625,5.273689777707958,0.8083677685950413,0.7957183555031079,0.5214837147456374
C_symmetric,component,43,cpcm_dft,1936.0,2.5670098420562866,2.1036258111821122,0.8238636363636364,0.8453720341172983,0.7571567670437431
C_symmetric,component,43,d1_own_dft,1936.0,1.9465018203071822,1.2940667670376111,0.9023760330578512,0.9456915551116495,0.8822297271459252
C_symmetric,component,43,d2_own_dft,1936.0,1.8115128098388784,1.2064811553978325,0.8930785123966942,0.9407106694498325,0.9016863492941377
C_symmetric,component,43,disp_dft,1936.0,1.121491080559489,0.8478544642196848,0.8724173553719008,0.8897341551987749,0.7078016908571899
C_symmetric,component,43,elst_dft,1936.0,4.5027705598984795,3.307114477876471,0.7572314049586777,0.7245411760083212,0.46554709387249615
C_symmetric,component,43,oi_dft,1936.0,4.705531142560311,3.207430247685412,0.7778925619834711,0.7438874303518088,0.5887254623041793
C_symmetric,component,43,pauli_dft,1936.0,7.622758219404507,5.2922331298951235,0.815599173553719,0.8062735555612663,0.5153260554573055
C_symmetric,component,44,cpcm_dft,1936.0,2.5883819251550535,2.070749154548392,0.809400826446281,0.8444002296968512,0.7672136920319058
C_symmetric,component,44,d1_own_dft,1936.0,1.946959801589213,1.282766980001278,0.9054752066115702,0.9462381666746208,0.8833928812745444
C_symmetric,component,44,d2_own_dft,1936.0,1.869482375927062,1.198185520193677,0.887396694214876,0.9382894775008515,0.8838095425922381
C_symmetric,component,44,disp_dft,1936.0,1.1246238484198023,0.8580197622927077,0.8724173553719008,0.8922642537119599,0.709978493685503
C_symmetric,component,44,elst_dft,1936.0,4.507811169206784,3.293570620782692,0.7510330578512396,0.7123527743829401,0.45816704799345626
C_symmetric,component,44,oi_dft,1936.0,4.716603416735001,3.317641107168928,0.7716942148760331,0.748424821296822,0.5857377584942179
C_symmetric,component,44,pauli_dft,1936.0,7.574999514444674,5.17773422784456,0.8150826446280992,0.7986344699470967,0.5131191855695457
C_symmetric,component,45,cpcm_dft,1936.0,2.578174901604558,2.1377021588740046,0.8125,0.8427179751115218,0.7650146619981599
C_symmetric,component,45,d1_own_dft,1936.0,1.9729356712258972,1.276987881946983,0.9044421487603306,0.9457949944356855,0.8760921535056035
C_symmetric,component,45,d2_own_dft,1936.0,1.827302697586114,1.2343302500615572,0.8889462809917356,0.9387054259927679,0.8989867692699236
C_symmetric,component,45,disp_dft,1936.0,1.115157621372324,0.8370667703898151,0.8724173553719008,0.8924896492046057,0.7102284895517813
C_symmetric,component,45,elst_dft,1936.0,4.600469282159562,3.336026678968121,0.7587809917355371,0.704976782751092,0.4416216491094433
C_symmetric,component,45,oi_dft,1936.0,4.572824423541598,3.238864468209613,0.7799586776859504,0.7613395737265936,0.6059387899250093
C_symmetric,component,45,pauli_dft,1936.0,7.647017911799422,5.386010315253415,0.8088842975206612,0.7961595333404575,0.5073457313083299
C_symmetric,component,46,cpcm_dft,1936.0,2.5673949395563653,2.095930382669687,0.8150826446280992,0.849022223950924,0.7615613849838007
C_symmetric,component,46,d1_own_dft,1936.0,1.9328865805158566,1.3390323260227692,0.9054752066115702,0.9465343154653141,0.877621096052034
C_symmetric,component,46,d2_own_dft,1936.0,1.8492231224580296,1.2252957134101532,0.8910123966942148,0.9391469577289062,0.8894186037205553
C_symmetric,component,46,disp_dft,1936.0,1.1275450470797632,0.8661326538594505,0.8693181818181818,0.8874279588576451,0.7084989382975451
C_symmetric,component,46,elst_dft,1936.0,4.506832829274107,3.2735993549533546,0.7634297520661157,0.7223259233872625,0.45639520063543926
C_symmetric,component,46,oi_dft,1936.0,4.617147855200577,3.242942285480087,0.7784090909090909,0.7579281365842938,0.5996865569886785
C_symmetric,component,46,pauli_dft,1936.0,7.7475393025010755,5.363912234154959,0.8109504132231405,0.7921543565618937,0.5162827822062515
C_symmetric,swaptype_holdout,42,cpcm_dft,1936.0,2.072540108313594,1.6730880995834252,0.856404958677686,0.8935915329284796,0.8248084723178136
C_symmetric,swaptype_holdout,42,d1_own_dft,1936.0,1.5864642062706793,0.8932134056918359,0.9245867768595041,0.953244952568136,0.8973198218730437
C_symmetric,swaptype_holdout,42,d2_own_dft,1936.0,1.5403432830089787,0.930172528671382,0.90650826446281,0.9474623985017446,0.9356147246411874
C_symmetric,swaptype_holdout,42,disp_dft,1936.0,0.9323249842090496,0.6873262394169686,0.887396694214876,0.9220423098901183,0.7777614264801076
C_symmetric,swaptype_holdout,42,elst_dft,1936.0,3.5858943735176014,2.5212862106055383,0.8135330578512396,0.8187725662157036,0.5984165474426831
C_symmetric,swaptype_holdout,42,oi_dft,1936.0,3.496389880790895,2.2869829190201294,0.8393595041322314,0.8502381027743912,0.7104673933938469
C_symmetric,swaptype_holdout,42,pauli_dft,1936.0,5.9187731035159326,3.9224516005688344,0.8481404958677686,0.8662371029937753,0.6600147435199337
C_symmetric,swaptype_holdout,43,cpcm_dft,1936.0,2.0374217433380375,1.6231553355914397,0.856404958677686,0.8953797338965549,0.8279690973109355
C_symmetric,swaptype_holdout,43,d1_own_dft,1936.0,1.5811558855581254,0.8760618817278658,0.9282024793388429,0.953111827089153,0.8969258508453549
C_symmetric,swaptype_holdout,43,d2_own_dft,1936.0,1.5354764166435333,0.9716719670275307,0.8997933884297521,0.950534528958287,0.9386309790803885
C_symmetric,swaptype_holdout,43,disp_dft,1936.0,0.9391453149011886,0.6799616546054477,0.8966942148760331,0.9236848484319288,0.7735257842511155
C_symmetric,swaptype_holdout,43,elst_dft,1936.0,3.6040781815130725,2.5262855352930202,0.8104338842975206,0.8181346256129518,0.5969071686728197
C_symmetric,swaptype_holdout,43,oi_dft,1936.0,3.535875988401941,2.212243503864382,0.8496900826446281,0.8460792396587052,0.7037136006743717
C_symmetric,swaptype_holdout,43,pauli_dft,1936.0,5.759818472796547,3.590555295964016,0.8538223140495868,0.8680167078594934,0.6592365625583511
C_symmetric,swaptype_holdout,44,cpcm_dft,1936.0,2.1154515013541078,1.613694859589787,0.8450413223140496,0.8894003757214449,0.82251909109327
C_symmetric,swaptype_holdout,44,d1_own_dft,1936.0,1.6040345072331887,0.9113863649183713,0.9245867768595041,0.9523083561159812,0.8974613022831244
C_symmetric,swaptype_holdout,44,d2_own_dft,1936.0,1.5470643780242528,0.9510403415790414,0.8997933884297521,0.9492084342482343,0.9332965676495308
C_symmetric,swaptype_holdout,44,disp_dft,1936.0,0.9339603284876942,0.690543980234569,0.8920454545454546,0.9263569546222041,0.7764402627458287
C_symmetric,swaptype_holdout,44,elst_dft,1936.0,3.610598137886912,2.5369792411334338,0.8259297520661157,0.8195816416888538,0.592889745890357
