scheme,seed,channel,n_pairs,abs_mae,baseline_mae_delta,mae_delta,mae_delta_ci_lo,mae_delta_ci_hi,median_err_delta,improvement_over_zero,sign_accuracy,spearman_delta,target_vs_1kcal
groupkfold_component,42,pauli_dft,1936,5.6859274751978965,12.601847049688775,6.6145456787067936,6.326298291144624,6.886900687165037,4.986690817014917,0.47511300108422194,0.8300619834710744,0.838510229312193,6.6145456787067936
groupkfold_component,42,oi_dft,1936,3.0880579145053413,7.644813819716968,3.8585311422206954,3.693335909069122,4.007922372552475,2.8007889804865087,0.4952746746730389,0.8290289256198347,0.828846267126841,3.8585311422206954
groupkfold_component,42,disp_dft,1936,1.028155914871803,2.4986130621660614,1.1206036636810432,1.0818520095108468,1.160473466580298,0.9402031554187609,0.551509723274405,0.8553719008264463,0.8887454706696561,1.1206036636810432
groupkfold_component,42,cpcm_dft,1936,2.310653482885489,5.1617798208467125,2.371680580458786,2.2886518842271704,2.458071915916969,1.8782315292519352,0.5405304637597372,0.8465909090909091,0.8585684155650243,2.371680580458786
groupkfold_component,42,cds_dft,1936,0.31066514934572903,0.37949678892390293,0.3305645958149937,0.3167302503615552,0.3434699947409033,0.240342737179426,0.12893967626883174,0.7231404958677686,0.5574016608701683,0.3305645958149937
groupkfold_component,42,interaction_own_dft,1936,1.9909543663378906,4.674185625374449,2.275537093017103,2.186849068386395,2.3567585475216,1.7857768453541834,0.5131692929215216,0.8212809917355371,0.8494256548646653,2.275537093017103
groupkfold_component,43,d1_own_dft,1936,1.828628021742487,6.614571969650818,1.6878801558828969,1.6135079302842823,1.7629514277418994,1.1538111377632179,0.7448239789925515,0.9023760330578512,0.9497722065949997,1.6878801558828969
groupkfold_component,43,d2_own_dft,1936,1.557230075833061,6.7835773076173105,1.804243809407652,1.7307997979903704,1.888747842243775,1.2270677657246996,0.7340276777885824,0.8724173553719008,0.9324881965658389,1.804243809407652
groupkfold_component,43,elst_dft,1936,3.8140327653210306,6.618378521592867,4.150009097771542,3.9785779481547157,4.310797140682327,3.2427683022103757,0.372956822546205,0.7763429752066116,0.7590116556069987,4.150009097771542
groupkfold_component,43,pauli_dft,1936,5.643186588736563,12.601847049688775,6.702986619566888,6.4076077977753085,6.986623725020508,4.985813733045646,0.4680949075848029,0.8316115702479339,0.8320443739270972,6.702986619566888
groupkfold_component,43,oi_dft,1936,3.0565400743645554,7.644813819716968,3.8609198409149754,3.70013625287838,4.0173299154868,2.9021683253525588,0.49496221465104073,0.8150826446280992,0.8223129898841143,3.8609198409149754
groupkfold_component,43,disp_dft,1936,1.013777733835053,2.4986130621660614,1.0621657594457736,1.0242809501426497,1.1002730706647705,0.86918904567725,0.5748978601252583,0.8724173553719008,0.9007985432222703,1.0621657594457736
groupkfold_component,43,cpcm_dft,1936,2.300459065522291,5.1617798208467125,2.4153094387550773,2.3353533796040202,2.5001879822513517,1.9354113791022796,0.5320781740824269,0.831095041322314,0.86501410815868,2.4153094387550773
groupkfold_component,43,cds_dft,1936,0.30496785244551644,0.37949678892390293,0.35077649577365455,0.3366930843608595,0.3647186690465525,0.2676295147143575,0.07567993719179378,0.6838842975206612,0.5200852886655203,0.35077649577365455
groupkfold_component,43,interaction_own_dft,1936,2.0051541570856766,4.674185625374449,2.2860692287782354,2.191216022821727,2.365591717401983,1.79115834981957,0.5109160371449522,0.8223140495867769,0.8540538134091348,2.2860692287782354
groupkfold_component,44,d1_own_dft,1936,1.8118704873320297,6.614571969650818,1.745199954416597,1.668738812826344,1.828198612528864,1.1802780817444143,0.7361582937756249,0.8925619834710744,0.9459931794111738,1.745199954416597
groupkfold_component,44,d2_own_dft,1936,1.5396486913728653,6.7835773076173105,1.811005225732156,1.735255260026121,1.8892897609584631,1.2826253991092944,0.7330309446464818,0.8698347107438017,0.9309744606458428,1.811005225732156
groupkfold_component,44,elst_dft,1936,3.782502007863056,6.618378521592867,4.318193016819925,4.1449030862152165,4.48289976976992,3.421416609428693,0.34754517247214645,0.7789256198347108,0.7453394307779425,4.318193016819925
groupkfold_component,44,pauli_dft,1936,5.631670318890993,12.601847049688775,6.641387369199797,6.380565258025409,6.892890117470253,5.259435280388999,0.4729830204244688,0.824896694214876,0.8270517219553531,6.641387369199797
groupkfold_component,44,oi_dft,1936,3.0660166242571667,7.644813819716968,3.8566100829929297,3.6932914867028015,4.0103513200547445,2.8596962428173747,0.49552596388335435,0.8274793388429752,0.8278071293274835,3.8566100829929297
groupkfold_component,44,disp_dft,1936,1.0218511644115411,2.4986130621660614,1.0968771443408427,1.0568727236703575,1.1371057713966644,0.9113176212704879,0.5610055990862571,0.871900826446281,0.8923680634721115,1.0968771443408427
groupkfold_component,44,cpcm_dft,1936,2.336714359901428,5.1617798208467125,2.4885102587868655,2.396749040207175,2.577006651895264,1.9539940809444407,0.5178968601611793,0.8192148760330579,0.8439510196799808,2.4885102587868655
groupkfold_component,44,cds_dft,1936,0.3059892582258651,0.37949678892390293,0.3307298789289043,0.3168424851605325,0.3439473659816009,0.2384768066068077,0.12850414395674215,0.7122933884297521,0.5312241825458903,0.3307298789289043
groupkfold_component,44,interaction_own_dft,1936,2.0367096860254215,4.674185625374449,2.349157393469688,2.2610885313000337,2.4288698943641056,1.9778222700138866,0.49741889138570594,0.8150826446280992,0.8453359678617562,2.349157393469688
groupkfold_component,45,d1_own_dft,1936,1.8435888144006525,6.614571969650818,1.7271781482403623,1.6439197087715902,1.8018231693076912,1.1902694673769023,0.7388828549806316,0.9028925619834711,0.951278389917946,1.7271781482403623
groupkfold_component,45,d2_own_dft,1936,1.5712587755813563,6.7835773076173105,1.8215101952913086,1.7483758630379296,1.9039246407252401,1.2823125992847606,0.7314823561830825,0.8796487603305785,0.9321556077760228,1.8215101952913086
groupkfold_component,45,elst_dft,1936,3.8482632530033305,6.618378521592867,4.173026075641747,4.016032767953435,4.33509817414221,3.342711505771941,0.3694790858475392,0.7737603305785123,0.7548804660536146,4.173026075641747
groupkfold_component,45,pauli_dft,1936,5.694461893263873,12.601847049688775,6.422681710702008,6.148592922411874,6.677979321812059,4.895126790860267,0.4903380682706645,0.8372933884297521,0.844579064346506,6.422681710702008
groupkfold_component,45,oi_dft,1936,3.143010455832808,7.644813819716968,3.9383087312936973,3.777549002937539,4.085147896615396,3.0712046724087045,0.4848391570849917,0.8223140495867769,0.8281553879190093,3.9383087312936973
groupkfold_component,45,disp_dft,1936,1.0303325374321997,2.4986130621660614,1.1088319469590808,1.0710136746498715,1.148707157331004,0.9055622679373698,0.5562210236754992,0.8729338842975206,0.889218306738343,1.1088319469590808
groupkfold_component,45,cpcm_dft,1936,2.344487272941301,5.1617798208467125,2.3675624234463593,2.2819460707791777,2.450083378361208,1.9062449450210583,0.5413282810156756,0.8388429752066116,0.8677155168379254,2.3675624234463593
groupkfold_component,45,cds_dft,1936,0.30624481550307026,0.37949678892390293,0.34773928904130497,0.3332386164975439,0.36188374275414775,0.26246194814877155,0.08368318470532832,0.6978305785123967,0.5190592424257306,0.34773928904130497
groupkfold_component,45,interaction_own_dft,1936,2.0104863789273413,4.674185625374449,2.2659672863950266,2.1831397864115334,2.345586414103575,1.7974148825094178,0.5152166670288153,0.818698347107438,0.8498209834397527,2.2659672863950266
groupkfold_component,46,d1_own_dft,1936,1.824735157155799,6.614571969650818,1.72457978669983,1.6475896292933938,1.7982590470345472,1.2011644448476044,0.7392756788175259,0.8956611570247934,0.9504919077403716,1.72457978669983
groupkfold_component,46,d2_own_dft,1936,1.5687791390160546,6.7835773076173105,1.7972810085435278,1.7176809065862542,1.8764627391374886,1.231689347879045,0.7350540980014553,0.8765495867768595,0.9342402022872247,1.7972810085435278
groupkfold_component,46,elst_dft,1936,3.831937404442114,6.618378521592867,4.105353769562445,3.9600284315953314,4.2528274237235255,3.2482807910738885,0.37970399302964075,0.78099173553719,0.7632091460987838,4.105353769562445
groupkfold_component,46,pauli_dft,1936,5.667631970143431,12.601847049688775,6.510447621639951,6.241014512362761,6.769191875292922,5.124962965645899,0.48337354072229133,0.8362603305785123,0.8412068904727596,6.510447621639951
groupkfold_component,46,oi_dft,1936,3.043783252514605,7.644813819716968,3.6385287076478368,3.49123613933477,3.7812155056238144,2.7521707330039327,0.524052672379856,0.8254132231404959,0.8507040584881581,3.6385287076478368
groupkfold_component,46,disp_dft,1936,1.0211399545345141,2.4986130621660614,1.0760909048409646,1.0388262383359381,1.1150994941391263,0.8832074138403199,0.5693247101221446,0.8667355371900827,0.8982785188760186,1.0760909048409646
groupkfold_component,46,cpcm_dft,1936,2.323899347314137,5.1617798208467125,2.4315694205714804,2.3493410357402684,2.513658884913082,1.9268228218462475,0.5289281013593063,0.84400826446281,0.8575667579626317,2.4315694205714804
groupkfold_component,46,cds_dft,1936,0.30568051249467526,0.37949678892390293,0.3386029158831052,0.3252564168024266,0.3529935784959044,0.25244577747692265,0.10775815299190261,0.7024793388429752,0.5378307240151677,0.3386029158831052
groupkfold_component,46,interaction_own_dft,1936,1.998024922874115,4.674185625374449,2.30451582804583,2.2210992196337966,2.3839340677611873,1.8711775863023306,0.5069695530413996,0.8223140495867769,0.8589950557937129,2.30451582804583
