phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,y_range,n_seeds
Phase 2 (τ=1e-10),cpcm,krr,cpcm_dft,2.7975390266904414,0.09525736235130887,0.6620906074822341,0.038974080518799734,43.12509475503047,5
Phase 2 (τ=1e-10),cpcm,svr,cpcm_dft,2.4010015532373536,0.10045242209525865,0.7565513106088515,0.033691270069607766,43.12509475503047,5
Phase 2 (τ=1e-10),cpcm,rf,cpcm_dft,3.073039509332942,0.1526948467961944,0.6354683851328603,0.036201034053730735,43.12509475503047,5
Phase 2 (τ=1e-10),cpcm,xgb,cpcm_dft,2.399357855486879,0.04283334068457121,0.7694042036285188,0.014980498861616932,43.12509475503047,5
Phase 2 (τ=1e-10),cds,ridge,cds_dft,0.37751264646653504,0.02880329685234064,0.3415558899607026,0.6055496248946637,6.213293026806105,5
Phase 2 (τ=1e-10),cds,krr,cds_dft,0.3667703324122144,0.017108872574060373,0.6150045004296303,0.017861821302112335,6.213293026806105,5
Phase 2 (τ=1e-10),cds,svr,cds_dft,0.3182817330128178,0.014525188033214904,0.6914845609703988,0.020344790906882907,6.213293026806105,5
Phase 2 (τ=1e-10),cds,rf,cds_dft,0.37503700173540105,0.01749565142180334,0.6303376053342772,0.0406707759366802,6.213293026806105,5
Phase 2 (τ=1e-10),cds,xgb,cds_dft,0.27918083600470844,0.012473315763302876,0.7676387833601672,0.02709384013002145,6.213293026806105,5
Phase 3 (τ=0.05),d1,ridge,d1_own_dft,2.5761634910610356,0.016039127878571396,0.8525950332351615,0.015362979698131126,53.98597521813522,5
Phase 3 (τ=0.05),d1,krr,d1_own_dft,2.6545445804566667,0.10420674630095865,0.8418814586400373,0.01978116602229512,53.98597521813522,5
Phase 3 (τ=0.05),d1,svr,d1_own_dft,2.1667262829793885,0.13404137639213984,0.9026494740575254,0.014210653786854132,53.98597521813522,5
Phase 3 (τ=0.05),d1,rf,d1_own_dft,2.1864142274278526,0.07367124352970833,0.9015791729782023,0.008082760938390974,53.98597521813522,5
Phase 3 (τ=0.05),d1,xgb,d1_own_dft,1.8233605854735608,0.05601546505594169,0.928377502328192,0.004146135050232095,53.98597521813522,5
Phase 3 (τ=0.05),d2,ridge,d2_own_dft,2.0922684868978063,0.09260798340856828,0.8723080058752852,0.017640135560303073,45.053803956989775,5
Phase 3 (τ=0.05),d2,krr,d2_own_dft,2.4703178955805014,0.1056978253590975,0.8164195349812917,0.020581783497378416,45.053803956989775,5
Phase 3 (τ=0.05),d2,svr,d2_own_dft,1.9000911762426747,0.0709381968077335,0.8951462493687142,0.010932282259519628,45.053803956989775,5
