phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,nmae_mean,nmae_std,mad,n_seeds,oracle
Phase 3 (τ=0.05),pauli,krr,pauli_dft,9.922444216716562,0.7150274838251768,0.5770522687126117,0.08974684249843007,0.501928377823603,0.036169776036737926,19.768645597885865,5,False
Phase 3 (τ=0.05),pauli,svr,pauli_dft,6.566694247156576,0.2916601029188307,0.8469355941667939,0.013729685839229277,0.3321772457622916,0.014753671488249147,19.768645597885865,5,False
Phase 3 (τ=0.05),pauli,rf,pauli_dft,9.017182459406794,0.2512285652958547,0.7923510865904034,0.018142951387482613,0.45613557159278156,0.012708435894198136,19.768645597885865,5,False
Phase 3 (τ=0.05),pauli,xgb,pauli_dft,6.074465794262757,0.23188272783345157,0.8912437561569417,0.010034584205288345,0.30727779321980375,0.011729823709230237,19.768645597885865,5,False
Phase 3 (τ=0.05),oi,ridge,oi_dft,4.2444740708995345,0.14047775608486435,0.716301967175471,0.23897747353854693,0.41649774906574877,0.013784668777762967,10.190869171370954,5,False
Phase 3 (τ=0.05),oi,krr,oi_dft,4.4252213297009355,0.256246035489295,0.6805575851120411,0.08824881928720738,0.43423394563170714,0.025144669329007076,10.190869171370954,5,False
Phase 3 (τ=0.05),oi,svr,oi_dft,3.2486389910941016,0.17201010946496015,0.8591876192098263,0.018659349349778507,0.3187793834328137,0.016878845815054264,10.190869171370954,5,False
Phase 3 (τ=0.05),oi,rf,oi_dft,5.1520853090795615,0.20887363336972467,0.7344131693607733,0.018606084571820045,0.5055589687632565,0.02049615492626576,10.190869171370954,5,False
Phase 3 (τ=0.05),oi,xgb,oi_dft,3.1970314462101626,0.14387217484546716,0.8878598893685702,0.009296008166901255,0.3137152869346544,0.01411775310094697,10.190869171370954,5,False
Phase 3 (τ=0.05),elst,ridge,elst_dft,4.815834519932095,0.15900917482606658,0.7152416787807685,0.12731587764682123,0.4770585724535638,0.01575151505633796,10.094849559381645,5,False
Phase 3 (τ=0.05),elst,krr,elst_dft,5.289896937976529,0.3227670245916591,0.6027726140858848,0.07351310645016,0.5240193929448275,0.03197343582913484,10.094849559381645,5,False
Phase 3 (τ=0.05),elst,svr,elst_dft,4.130555392073505,0.22868428765744164,0.7879187127516536,0.022015200555449865,0.40917453675520854,0.022653560740280073,10.094849559381645,5,False
Phase 3 (τ=0.05),elst,rf,elst_dft,5.534927673776183,0.14715106264411046,0.6829075749219861,0.029150032982453583,0.5482922396433635,0.014576845526871243,10.094849559381645,5,False
Phase 3 (τ=0.05),elst,xgb,elst_dft,3.985895386741343,0.10599822924102655,0.8266264979144342,0.009825542231779994,0.3948444564027259,0.010500228717377678,10.094849559381645,5,False
Phase 3 (τ=0.05),disp,ridge,disp_dft,1.4457491429817082,0.05048932513889322,0.8406550564124249,0.04843700202240815,0.3873558489905382,0.013527475011190615,3.732353975677344,5,True
Phase 3 (τ=0.05),disp,krr,disp_dft,1.4787666556737484,0.05088538206125582,0.8185115685217861,0.018329566019113536,0.39620214623544203,0.013633589523625285,3.732353975677344,5,True
Phase 3 (τ=0.05),disp,svr,disp_dft,1.1970145293834311,0.060249952579708534,0.8909404587598907,0.009439237521819096,0.32071302378713906,0.016142614814227105,3.732353975677344,5,True
Phase 3 (τ=0.05),disp,rf,disp_dft,1.5996935549546125,0.05841033240390639,0.8126550890181997,0.006763692869219099,0.4286017793005021,0.015649730112564188,3.732353975677344,5,True
Phase 3 (τ=0.05),disp,xgb,disp_dft,1.116281919584849,0.025368400122087038,0.9049028406978502,0.002035323706442939,0.29908254331162876,0.006796890189785175,3.732353975677344,5,True
Phase 3 (τ=0.05),cpcm,ridge,cpcm_dft,2.951512992793294,0.15943397697883166,0.6556777727871077,0.08205997981811379,0.5928090006795349,0.03202218550213387,4.978859952210551,5,False
Phase 3 (τ=0.05),cpcm,krr,cpcm_dft,2.8737391849287937,0.10583639230390879,0.6413938324185727,0.04117382106660401,0.5771881941874846,0.021257153910689688,4.978859952210551,5,False
Phase 3 (τ=0.05),cpcm,svr,cpcm_dft,2.5634721521435173,0.05562754375855023,0.728469609488674,0.022211360863409926,0.5148713112537676,0.01117274723380245,4.978859952210551,5,False
Phase 3 (τ=0.05),cpcm,rf,cpcm_dft,3.0776979756871867,0.135495769482849,0.6380501250491133,0.032927130858563955,0.6181531525747631,0.02721421586134203,4.978859952210551,5,False
Phase 3 (τ=0.05),cpcm,xgb,cpcm_dft,2.440778985037023,0.04727611551886207,0.7646141899147677,0.015556537546993526,0.4902284877391154,0.009495369617269928,4.978859952210551,5,False
Phase 3 (τ=0.05),cds,ridge,cds_dft,0.42296836902951124,0.008628679814868239,0.4823627587059704,0.05305943447104001,0.7381896064810366,0.015059286280918162,0.5729806614940154,5,False
Phase 3 (τ=0.05),cds,krr,cds_dft,0.4096043103252215,0.016235370947495845,0.5312672687033462,0.014060107868991322,0.7148658547344353,0.028334937003219294,0.5729806614940154,5,False
Phase 3 (τ=0.05),cds,svr,cds_dft,0.3689731836516843,0.01852204507073866,0.6083435070808223,0.01873601771207577,0.6439539908547823,0.03232577696853407,0.5729806614940154,5,False
Phase 3 (τ=0.05),cds,rf,cds_dft,0.40068234268459346,0.010617679151936734,0.5693566559702934,0.049147273558415736,0.6992947050600913,0.018530606468029343,0.5729806614940154,5,False
Phase 3 (τ=0.05),cds,xgb,cds_dft,0.308542128906836,0.011518779856586725,0.7242916585747329,0.02816800604849724,0.5384861124323629,0.02010326112325003,0.5729806614940154,5,False
Phase 5 (no filter),d1,ridge,d1_own_dft,2.5763070665208008,0.033495677524233734,0.8579612047969958,0.008219607978663402,0.3347907829644069,0.004352759129526285,7.695274773423794,5,False
Phase 5 (no filter),d1,krr,d1_own_dft,2.7014811425686367,0.08334619221058473,0.8378349907405728,0.0224827129981027,0.35105713858306964,0.010830827314760354,7.695274773423794,5,False
Phase 5 (no filter),d1,svr,d1_own_dft,2.2492727501814556,0.11537971747330747,0.8966996356072748,0.014209268566294909,0.2922927142185341,0.01499357993970273,7.695274773423794,5,False
Phase 5 (no filter),d1,rf,d1_own_dft,2.2082528758712705,0.055466281551940604,0.9010421181950192,0.005911083565361395,0.2869621866522085,0.007207836391170534,7.695274773423794,5,False
Phase 5 (no filter),d1,xgb,d1_own_dft,1.8136085880723225,0.022726872950541727,0.930478427508552,0.002662578874630163,0.23567821052157295,0.002953354314134523,7.695274773423794,5,False
Phase 5 (no filter),d2,ridge,d2_own_dft,2.1347227399113216,0.08858963301906712,0.8511793721857799,0.040972682355219066,0.3208239438546982,0.013313989174537097,6.653875998975132,5,False
Phase 5 (no filter),d2,krr,d2_own_dft,2.481287863961736,0.10644195382229492,0.8154297939466023,0.02054756474275755,0.3729086421724598,0.015996984891015358,6.653875998975132,5,False
Phase 5 (no filter),d2,svr,d2_own_dft,1.9539436326175086,0.047928543179365735,0.8905920300671506,0.01144745035615384,0.2936549513273866,0.007203101348258964,6.653875998975132,5,False
Phase 5 (no filter),d2,rf,d2_own_dft,1.7951407521779366,0.07922102576693663,0.9015437907401281,0.01062632901897145,0.2697887295246311,0.01190599671216276,6.653875998975132,5,False
Phase 5 (no filter),d2,xgb,d2_own_dft,1.4391451934268327,0.06802300780877481,0.9262707447188815,0.013421238399117248,0.21628674679968457,0.01022306514567631,6.653875998975132,5,False
Phase 5 (no filter),interaction,ridge,interaction_own_dft,2.444563011034959,0.20739999661106387,0.7491038150985048,0.12977385547707737,0.5131095103408988,0.04353289738305919,4.764213022305598,5,False
Phase 5 (no filter),interaction,krr,interaction_own_dft,2.5101515808179613,0.13449504514100308,0.7482122751485747,0.01516211712272679,0.526876436688634,0.02823027528603568,4.764213022305598,5,False
Phase 5 (no filter),interaction,svr,interaction_own_dft,2.0516006956555635,0.13387947746332696,0.8296886955034788,0.00918315427812262,0.4306274060480003,0.028101068704635124,4.764213022305598,5,False
Phase 5 (no filter),interaction,rf,interaction_own_dft,2.822961143112397,0.15489171284084902,0.7145075547418983,0.0064470032478926055,0.5925346179726972,0.03251150024477507,4.764213022305598,5,False
Phase 5 (no filter),interaction,xgb,interaction_own_dft,2.0398751180987764,0.10189560023987264,0.8441463536961968,0.007602118441715729,0.42816622777954566,0.021387708686158028,4.764213022305598,5,False
Phase 5 (no filter),pauli,ridge,pauli_dft,7.465094465170258,0.6063524409745554,0.5949693953270787,0.5952111779940925,0.3776229599648751,0.030672432158903244,19.768645597885865,5,False
Phase 5 (no filter),pauli,krr,pauli_dft,10.13703125698397,0.7340765994752103,0.5641230809780371,0.0933760396508585,0.5127832964979687,0.03713337850286088,19.768645597885865,5,False
Phase 5 (no filter),pauli,svr,pauli_dft,6.07445867184793,0.2566704883528692,0.8638870072673495,0.01034087939859122,0.3072774329313464,0.012983716415064801,19.768645597885865,5,False
Phase 5 (no filter),pauli,rf,pauli_dft,8.74187861156302,0.20611971603188955,0.8026687811828325,0.014244284375205587,0.44220928380130964,0.010426597766208768,19.768645597885865,5,False
Phase 5 (no filter),pauli,xgb,pauli_dft,5.565935729140508,0.17370259165020632,0.9084350368276768,0.00521424274158966,0.28155372109740034,0.008786772507509708,19.768645597885865,5,False
Phase 5 (no filter),oi,ridge,oi_dft,3.997772683570311,0.2227979620209193,0.6254871553893793,0.48560893988681475,0.392289667970735,0.02186250831742812,10.190869171370954,5,False
Phase 5 (no filter),oi,krr,oi_dft,4.4856378177409395,0.3388799837707385,0.6742045716934727,0.09960099466898939,0.4401624377970007,0.033253295481679684,10.190869171370954,5,False
Phase 5 (no filter),oi,svr,oi_dft,3.1613678559596403,0.15502184274013459,0.8638969414614378,0.014614824636491023,0.31021572378152207,0.01521183719791389,10.190869171370954,5,False
Phase 5 (no filter),oi,rf,oi_dft,5.155697541754694,0.19966317369608122,0.7307906775225061,0.017972914253051954,0.5059134265248457,0.019592359624926968,10.190869171370954,5,False
Phase 5 (no filter),oi,xgb,oi_dft,3.01167084703353,0.07800533526296821,0.8995421926177318,0.004310385501699514,0.2955263968547618,0.0076544339792043795,10.190869171370954,5,False
Phase 5 (no filter),elst,ridge,elst_dft,4.268692721634107,0.21605350190194145,0.6608502025298734,0.35963858471886045,0.42285847813026584,0.02140234984494169,10.094849559381645,5,False
Phase 5 (no filter),elst,krr,elst_dft,5.218871245410353,0.24623161043674416,0.6062296728140635,0.07015192670502844,0.516983558270088,0.024391805840029472,10.094849559381645,5,False
Phase 5 (no filter),elst,svr,elst_dft,3.8525094797779973,0.18396379747241362,0.8143457324381018,0.017470132293243967,0.38163119292824615,0.018223530364694433,10.094849559381645,5,False
Phase 5 (no filter),elst,rf,elst_dft,5.364591974666976,0.08405779970990895,0.695610813410848,0.02499936539736231,0.5314187143761241,0.008326800633872733,10.094849559381645,5,False
Phase 5 (no filter),elst,xgb,elst_dft,3.722485549795194,0.12416352280266713,0.8452194653525769,0.0029999707855721245,0.36875096829310383,0.012299690260096625,10.094849559381645,5,False
Phase 5 (no filter),disp,ridge,disp_dft,1.34830212848919,0.04760374757474118,0.8188277719375507,0.12919226890618268,0.3612471210597064,0.012754349636974638,3.732353975677344,5,True
Phase 5 (no filter),disp,krr,disp_dft,1.3539791340825151,0.059135846941651075,0.8355286656200789,0.024444455187897687,0.3627681465654115,0.01584411535642708,3.732353975677344,5,True
Phase 5 (no filter),disp,svr,disp_dft,1.0373485384038537,0.05993798163003054,0.9157611568884416,0.010241782937399054,0.27793412553148755,0.016059029240160175,3.732353975677344,5,True
Phase 5 (no filter),disp,rf,disp_dft,1.5793348799956326,0.04381118390994611,0.8177617024962542,0.0056038486919854965,0.4231471318871936,0.01173821780984621,3.732353975677344,5,True
