reaction_id,sub_source,reaction_number,flags,e_barrier_dft,sum_distortion_energies_dft,interaction_energies_dft,asm_residual_kcal
dipolar_000583,spec16,53,e_barrier_lt_0,-1.1430000000000007,77.457,78.6,1.4876988529977098e-14
dipolar_000606,spec16,54,sum_distortion_gt_100,62.296,112.806,50.51,0.009999999999976694
dipolar_000628,spec16,55,e_barrier_lt_0,-10.451,44.689,55.14,0.010000000000012221
dipolar_000648,spec16,56,e_barrier_lt_0,-5.670999999999992,85.349,91.02,0.009999999999984688
dipolar_000721,spec16,59,e_barrier_lt_0,-8.260000000000005,73.08,81.34,5.329070518200751e-15
dipolar_000763,spec16,63,e_barrier_lt_0,-8.567,41.533,50.1,7.105427357601002e-15
dipolar_000783,locked_778,64,e_barrier_lt_0,-2.222729192085598,3.197270807914402,5.42,5.329070518200751e-15
dipolar_000784,locked_778,65,e_barrier_lt_0,-6.88876751842993,3.3912324815700696,10.28,0.009999999999999787
dipolar_000797,spec16,66,e_barrier_lt_0,-3.3770000000000095,82.573,85.95,4.440892098500626e-15
dipolar_000864,spec16,68,e_barrier_lt_0,-5.935000000000002,61.035,66.97,3.108624468950438e-14
dipolar_000876,locked_778,69,sum_distortion_gt_100,3.8060897319926283,107.34608973199263,103.54,2.842170943040401e-14
dipolar_000984,locked_778,75,e_barrier_lt_0,-1.834433286426684,9.445566713573315,11.28,5.329070518200751e-15
dipolar_001090,spec16,78,sum_distortion_gt_100,12.033000000000001,112.393,100.36,1.7763568394002505e-15
dipolar_001155,spec16,81,e_barrier_lt_0,-10.525999999999996,67.274,77.8,0.010000000000001563
dipolar_001156,locked_778,82,e_barrier_lt_0,-2.695424666572734,58.21457533342726,60.91,0.009999999999990905
dipolar_001158,locked_778,83,e_barrier_lt_0,-14.507873379563907,19.57212662043609,34.08,2.1316282072803006e-14
dipolar_001172,locked_778,84,e_barrier_lt_0,-1.2852262382206376,54.60477376177936,55.89,0.0
dipolar_001187,spec16,86,e_barrier_lt_0,-0.907,9.853,10.76,3.552713678800501e-15
dipolar_001189,locked_778,87,e_barrier_lt_0,-1.9642652564323497,1.7157347435676504,3.68,0.00999999999999579
dipolar_001295,spec16,97,e_barrier_lt_0,-10.235,49.895,60.13,0.010000000000005116
dipolar_001353,locked_778,102,e_barrier_lt_0,-3.6991597857941656,27.060840214205836,30.76,2.1316282072803006e-14
dipolar_001374,locked_778,103,e_barrier_lt_0,-3.9369695100590008,79.863030489941,83.8,2.842170943040401e-14
dipolar_001399,locked_778,106,e_barrier_lt_0,-3.28489156991251,13.64510843008749,16.93,0.0
dipolar_001450,spec16,112,e_barrier_lt_0,-2.8589999999999947,86.351,89.21,1.9539925233402755e-14
dipolar_001462,locked_778,113,e_barrier_lt_0,-12.035985257503484,36.044014742496515,48.08,0.0099999999999838
dipolar_001534,spec16,121,e_barrier_lt_0,-2.6699999999999946,63.29,65.96,5.329070518200751e-15
dipolar_001628,spec16,126,e_barrier_lt_0,-9.922000000000004,53.858,63.78,0.009999999999994458
dipolar_001703,spec16,131,e_barrier_lt_0,-1.388,9.962,11.35,0.0
dipolar_001779,spec16,135,sum_distortion_gt_100,19.771,121.181,101.41,1.4210854715202004e-14
dipolar_001824,locked_778,138,e_barrier_lt_0,-3.083855443606174,7.076144556393826,10.16,0.009999999999996234
dipolar_001901,spec16,141,e_barrier_lt_0,-6.429,8.881,15.31,0.0
dipolar_001906,locked_778,142,e_barrier_lt_0,-0.13326842449076626,6.426731575509233,6.56,2.6645352591003757e-15
dipolar_001926,locked_778,145,e_barrier_lt_0,-7.409226658529457,8.150773341470543,15.56,5.329070518200751e-15
dipolar_001928,spec16,146,e_barrier_lt_0,-4.283,7.637,11.92,5.329070518200751e-15
dipolar_001930,locked_778,147,e_barrier_lt_0,-0.12384610777980143,18.326153892220198,18.45,0.010000000000001563
dipolar_002016,spec16,151,e_barrier_lt_0,-1.8840000000000003,40.386,42.27,6.661338147750939e-15
dipolar_002058,locked_778,153,e_barrier_lt_0,-0.38908302503536696,9.150916974964632,9.54,3.552713678800501e-15
dipolar_002123,spec16,154,e_barrier_lt_0,-13.107,27.783,40.89,1.4210854715202004e-14
dipolar_002185,spec16,158,sum_distortion_gt_100,28.774,142.344,113.57,1.4210854715202004e-14
dipolar_002192,spec16,159,e_barrier_lt_0,-1.967000000000013,65.823,67.79,1.3322676295501878e-15
dipolar_002260,spec16,162,e_barrier_lt_0,-8.104999999999997,33.325,41.43,3.552713678800501e-15
dipolar_002345,locked_778,167,e_barrier_lt_0,-6.19383328687293,74.18616671312707,80.38,0.01999999999998181
dipolar_002349,spec16,168,e_barrier_lt_0,-8.031999999999996,48.628,56.66,1.0658141036401503e-14
dipolar_002415,spec16,172,e_barrier_lt_0,-0.32899999999999974,7.641,7.97,2.3869795029440866e-15
dipolar_002460,spec16,175,e_barrier_lt_0,-6.214,13.806,20.02,3.552713678800501e-15
dipolar_002497,spec16,178,e_barrier_lt_0,-5.222999999999999,18.107,23.33,2.6645352591003757e-15
dipolar_002585,spec16,181,e_barrier_lt_0,-7.832999999999998,66.057,73.89,1.7763568394002505e-15
