variant,fold,member,channel,MAE,RMSE,NMAE,R2,slope
M_delta,1,4,disp,5.2387528706200515,8.623823462124749,0.9432955221686867,-0.46787232789583255,-0.058745759373014746
M_delta,1,4,barrier,31.23776309550563,41.51256862247703,1.0552123418647656,-0.20118296294652538,-0.05803443526366837
M_delta,2,0,strain,19.937583536099478,29.33641725912747,0.8944577523771241,-0.02342930068026039,0.2072960871480643
M_delta,2,0,Pauli,73.72443127784,111.88848997189284,0.735369169208957,0.22855101090220264,0.3162262697488897
M_delta,2,0,V_elst,40.21915522806204,51.939514428134714,0.954378897820656,0.04247618929766794,0.40893324413096926
M_delta,2,0,oi,60.758884692647655,97.1610871002376,0.7674686988278621,0.1850541988363451,0.23900405368012986
M_delta,2,0,disp,1.8341198688859393,2.9652453101805367,0.32485673824848577,0.825868737978134,0.7164134275657411
M_delta,2,0,barrier,30.576311901116828,40.70151736573609,0.8663760220414296,0.17864324927076491,0.1296336950930008
M_delta,2,1,strain,18.37771918819209,25.077086796501806,0.8244777191340679,0.2521786417333445,0.34475462359275744
M_delta,2,1,Pauli,63.782590832679894,94.5415701592597,0.6362036304337139,0.4492151188343184,0.43244982698992734
M_delta,2,1,V_elst,34.44568818238131,43.56808189566324,0.817377633512247,0.32626254347099426,0.5603931980213854
M_delta,2,1,oi,52.26066087765299,86.07543804076982,0.6601243852079786,0.3604088012816028,0.317893923913654
M_delta,2,1,disp,2.8556892685829456,4.7426385470313575,0.5057956772512076,0.5545535052034943,0.4422998603409949
M_delta,2,1,barrier,34.33666637938494,44.482295259368065,0.9729252018405996,0.018963857479848634,0.014505562348505033
M_delta,2,2,strain,20.548094465474414,30.610342292599398,0.9218470411894636,-0.11424340050220705,0.19553464223607236
M_delta,2,2,Pauli,67.48394626265119,110.66128716119445,0.6731230426327359,0.24538084728397458,0.3249112697552861
M_delta,2,2,V_elst,35.111054482733365,49.620276074812715,0.8331664175574657,0.1260790219729062,0.43489510176222074
M_delta,2,2,oi,56.23397451904928,99.72733628963583,0.7103128286895031,0.1414364746076735,0.21403118983124694
M_delta,2,2,disp,1.6549324681804438,2.6903989937790938,0.29311931720207995,0.856652911676438,0.8317719871281603
M_delta,2,2,barrier,32.44514999306126,42.545349517085306,0.9193293186055966,0.1025405762032906,0.0820825836954821
M_delta,2,3,strain,17.939663949286103,27.366986767252662,0.8048252921636966,0.10936929650910898,0.27053473050510846
M_delta,2,3,Pauli,71.88747610408029,115.28142420699048,0.7170463394958195,0.1810543975088067,0.32213985140552903
M_delta,2,3,V_elst,30.522598395681683,45.556858625817355,0.7242848252359187,0.2633497318089657,0.401479786366384
M_delta,2,3,oi,57.74527692035505,99.22405887890973,0.7294026670453726,0.15008014947882142,0.25321334284328234
M_delta,2,3,disp,1.7910673348766983,2.8259688467181485,0.3172313338194562,0.8418423395631636,0.7485719444196061
M_delta,2,3,barrier,23.14662157616038,32.425682249838,0.6558566641295831,0.47869861855841145,0.34565034545526785
M_delta,2,4,strain,16.36447825249593,26.402859040718113,0.734157898827063,0.1710170226085993,0.35405315964101847
M_delta,2,4,Pauli,68.71696190621442,107.96637592549243,0.6854218379399747,0.2816874795570877,0.41472013374490296
M_delta,2,4,V_elst,30.112199268523295,44.62474796615913,0.7145462749251779,0.29318563948696263,0.4580313432019748
M_delta,2,4,oi,57.4778113410731,93.62373450010065,0.7260242070695002,0.2433136203741394,0.3335290125032299
M_delta,2,4,disp,1.498499670985398,2.3580131738165586,0.265412159608974,0.8898846289918984,0.84383790537044
