arm,family,channel,metric,point,ci_low,ci_high
xgb_28d,rgd1,strain,R2,0.8715653737375093,0.8315162556481168,0.900589987088867
xgb_28d,rgd1,strain,slope,0.8484200041215519,,
xgb_28d,rgd1,Pauli,NMAE,0.3113653416758772,0.27067456878247925,0.350731667576787
xgb_28d,rgd1,Pauli,RMSE,53.350369208850296,46.9246845829519,59.440671481531645
xgb_28d,rgd1,Pauli,R2,0.8755906638450534,0.84496578849632,0.9020363653179906
xgb_28d,rgd1,Pauli,slope,0.8552910383234198,,
xgb_28d,rgd1,elst,NMAE,0.36599692851899984,0.3186511563287813,0.4117274483775669
xgb_28d,rgd1,elst,RMSE,26.751154377882532,23.4356818614463,29.785208725969515
xgb_28d,rgd1,elst,R2,0.8343493256454624,0.7936341213203202,0.8715012566948345
xgb_28d,rgd1,elst,slope,0.8088078424667261,,
xgb_28d,rgd1,oi,NMAE,0.23754358619810617,0.20024004695514377,0.2760782852006278
xgb_28d,rgd1,oi,RMSE,25.94883680907304,21.743216439118484,29.928963879586
xgb_28d,rgd1,oi,R2,0.916054761291183,0.8896832498602112,0.9360630590201574
xgb_28d,rgd1,oi,slope,0.8951689519370887,,
xgb_28d,rgd1,disp,NMAE,0.5987267281473706,0.5223290948282305,0.6642330209629693
xgb_28d,rgd1,disp,RMSE,1.1992823504028878,1.0502005985017913,1.325766739848873
xgb_28d,rgd1,disp,R2,0.5942626794618041,0.49939291255972607,0.6816379638023917
xgb_28d,rgd1,disp,slope,0.5872274219899581,,
xgb_28d,rgd1,barrier,NMAE,0.6882582984346873,0.611248928195586,0.7707399449288427
xgb_28d,rgd1,barrier,RMSE,16.815646503921208,15.016616820287034,18.603655730497174
xgb_28d,rgd1,barrier,R2,0.4823519065114754,0.3010126190866125,0.6031610040380944
xgb_28d,rgd1,barrier,slope,0.773882811617968,,
xgb28_delta,rgd1,strain,NMAE,0.3408044952839003,0.30433488335411746,0.3852300212872216
xgb28_delta,rgd1,strain,RMSE,9.546639088505698,8.369714592358239,10.751130136542109
xgb28_delta,rgd1,strain,R2,0.8714300305524689,0.8328476238077456,0.9007562790557355
xgb28_delta,rgd1,strain,slope,0.8501600423263753,,
xgb28_delta,rgd1,Pauli,NMAE,0.3083449192555979,0.2676513768087523,0.34816832584773827
xgb28_delta,rgd1,Pauli,RMSE,53.16250233622118,46.789019865877606,59.10850484430609
xgb28_delta,rgd1,Pauli,R2,0.8764653060163399,0.8462505473002161,0.902698484307359
xgb28_delta,rgd1,Pauli,slope,0.8573343600195061,,
xgb28_delta,rgd1,elst,NMAE,0.35862911715802687,0.3118698976255895,0.40601816334833335
xgb28_delta,rgd1,elst,RMSE,26.40518351848493,23.086381662806673,29.49920989248576
xgb28_delta,rgd1,elst,R2,0.8386063165937263,0.7991001594358227,0.8742873833214664
xgb28_delta,rgd1,elst,slope,0.8147162050792252,,
xgb28_delta,rgd1,oi,NMAE,0.23647526684040765,0.1992755557927812,0.2748079438190775
xgb28_delta,rgd1,oi,RMSE,25.938496962716723,21.750931009905177,29.920397223996673
xgb28_delta,rgd1,oi,R2,0.9161216473673942,0.8896511959667022,0.9363155367102063
xgb28_delta,rgd1,oi,slope,0.8960548009156507,,
xgb28_delta,rgd1,disp,NMAE,0.535332394387965,0.4717413322679937,0.5975148850922938
xgb28_delta,rgd1,disp,RMSE,1.0492224569927486,0.9265115862677489,1.162322704195472
xgb28_delta,rgd1,disp,R2,0.6894459287465948,0.6073269248895686,0.7627204033475704
xgb28_delta,rgd1,disp,slope,0.8421953328353979,,
xgb28_delta,rgd1,barrier,NMAE,0.696771629268419,0.6199070024701977,0.7786685865399186
xgb28_delta,rgd1,barrier,RMSE,16.926017184567026,15.137285629597558,18.6903175404404
xgb28_delta,rgd1,barrier,R2,0.4755343665255679,0.2953153354888667,0.5974277881881136
xgb28_delta,rgd1,barrier,slope,0.7789560813065348,,
