rxn_id,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft,e_bond_kcal,e_frag1_dist_eh,e_frag1_rel_eh,e_frag2_dist_eh,e_frag2_rel_eh,d1_b3lyp,d2_b3lyp,sum_dist_b3lyp
2402,-45.38222324088679,123.03241862676349,-58.86522155683517,-16.408512619513967,-12.721585536479173,-3.7498150157592915,-14.089846601321328,-1157.220061784512,-1157.246151420406,-453.957338815451,-453.976053647764,16.371493698401586,11.743734581897462,28.11522828029905
2416,-58.959784473534796,118.47695386090047,-50.073315645439685,-24.468318978007837,-10.541225430162676,-2.3096732426707884,-27.87417459020913,-819.953684450841,-819.979494838946,-629.830452820138,-629.867292038645,16.196263065142254,23.11695863022187,39.31322169536412
2456,-50.09456204946536,110.66760146823066,-47.85864921967047,-21.231598253384877,-6.839274703552704,-2.06193532610331,-17.416332054201433,-777.722034303705,-777.747057217396,-766.212227820585,-766.228862293943,15.702115409785863,10.438289628237413,26.140405038023275
2457,-58.235830746617886,130.26963003206697,-56.49996634874451,-21.137807236089298,-8.195240473261961,-1.9980980342955017,-15.78153922679456,-777.726450670991,-777.746986425722,-766.211530471635,-766.228967092889,12.88638065072978,10.941645032521235,23.828025683251013
2459,-29.158619716608257,75.87096318074131,-30.23553955331534,-13.478496688483354,-8.432771006969592,-1.2382064632933119,-6.669362645490742,-777.728411869846,-777.742963678453,-766.223582649252,-766.228852022054,9.131397765607009,3.3065813556193726,12.43797912122638
2509,-33.30943148406862,100.45930759012879,-42.61623590184026,-18.81122650365125,-16.109186647076182,-3.900729475497782,-14.279949027715059,-678.035115247276,-678.066476533452,-959.127251915925,-959.13951392354,19.679504194231157,7.694525949477563,27.37403014370872
2541,-61.984506958183644,151.3511998063398,-77.97894841510065,-27.809742733174648,-12.157133234445725,-2.5090140517945185,-31.085664790404646,-722.404191399955,-722.444514873084,-734.669430579406,-734.706441548361,25.303361415562875,23.22473366350119,48.528095079064066
2600,-37.08935271011788,89.07328134076423,-39.46213357658003,-24.352162707294333,-3.1641424768452424,-1.8694420258624511,-16.862796910993946,-761.4169995038,-761.434319534979,-3111.788563120408,-3111.800855065618,10.868483655888864,7.713312074007739,18.581795729896605
2678,-33.66127617167769,89.46611306469067,-39.440250438691024,-20.1633517271264,-7.728417350222199,-2.6272446805764327,-14.150770994150534,-836.624271757507,-836.636644077375,-1057.94534026752,-1057.972695192425,7.7637479332777195,17.165474540179684,24.929222473457404
2687,-28.317100897457625,86.07544236599941,-35.80546794967909,-25.433920077287915,-3.027247520021533,-3.260146720055841,-9.762465339535828,-905.473409091451,-905.491273462664,-585.208580343096,-585.217482008003,11.210062184351685,5.585879064113442,16.795941248465127
2688,-18.294209023283074,64.56052521659967,-25.88228726818222,-20.49667120554408,-5.887381736986374,-3.018612424899898,-8.997972743567912,-905.482447727297,-905.491279166065,-585.183404734544,-585.217531407548,5.5418114965808,21.414810628287793,26.95662212486859
2708,-24.7089685475563,74.9317705666734,-28.119085262841217,-27.77402144260887,-16.2804170397922,-2.5875349397935086,-24.540027246650713,-950.240350392174,-950.264156660719,-656.311318289809,-656.330726625159,14.938659054043322,12.17891430786114,27.117573361904462
2786,-21.637519824940288,64.15118729521463,-27.251654255721466,-18.503758407534654,-8.700341046710097,-1.9658663866659354,-13.90661923147638,-921.043159506107,-921.069187118922,-997.913468082991,-997.918891875543,16.332573628604933,3.4034812116935766,19.73605484029851
2828,-18.14526839459525,55.96376151118792,-19.655879356119147,-17.083069239889266,-6.955742971976711,-2.633004339035068,-8.50574477396881,-570.082711253377,-570.093239106714,-3446.636295076009,-3446.652203218004,6.606327710484723,9.982509816709607,16.58883752719433
2862,-27.800976927829563,78.10411578461266,-35.5809515232069,-20.060207053610434,-6.078625916868162,-2.285252017212043,-13.69134614505903,-419.034386411735,-419.056810040875,-1097.183126133253,-1097.196102534306,14.071039728232114,8.142814600023726,22.21385432825584
2869,-30.453501894334735,82.36351819206152,-41.74206826676171,-21.786373669067853,-4.811517371214663,-3.114393776745309,-19.54557511325886,-8006.873958459038,-8006.91251595815,-801.398743518498,-801.430382246998,24.195195989183976,19.853601881032862,44.04879787021684
2959,-17.999188707101574,67.64223095807495,-25.71990501005428,-22.822328495040097,-7.586361755483795,-4.462859553220564,-10.943251799408785,-1455.087267272448,-1455.098470680848,-720.856280059874,-720.862954156544,7.0302449129274915,4.188058891200273,11.218303804127764
3109,-20.868763615850852,72.4657231553341,-30.614322532385525,-18.85850840125769,-7.180368773350236,-3.13321768044636,-8.190418627712313,-592.689314990464,-592.718390874585,-1554.131938599947,-1554.157954864062,18.245392752670053,16.325452211899492,34.570844964569545
3136,-26.783816449862144,78.0090674265839,-38.9146818867198,-23.498806737677814,-5.227571840255349,-2.803470801717364,-19.215878058782103,-5897.826853479524,-5897.846406648597,-688.090068698299,-688.114463420318,12.269798840903514,15.307919184056093,27.57771802495961
3220,-20.864285268987306,55.66349923186388,-28.189890921856602,-5.850239953224158,-4.718000261804512,-2.2798403127567757,-6.2370478999543435,-321.129903564022,-321.139834421921,-78.564184892693,-78.567193437376,6.231707417201645,1.8878902917237899,8.119597708925435
3226,-21.62594283990235,62.36325178467779,-33.57309571658971,-6.876535714114992,-1.61839713436666,-3.064300197438431,-4.3898736125375475,-356.43013710225,-356.453785814503,-78.562632602961,-78.56718730292,14.839790988162594,2.8581173757883147,17.69790836395091
3276,-54.733557362462584,119.08065719429129,-63.07657562660599,-9.267082315052084,-0.7294985888825756,-1.7636545961964716,-10.48799825679517,-377.7476732064,-377.782490945108,-157.169005169242,-157.184079741922,21.848460904723506,9.459437174148114,31.30789807887162
3287,-14.48112517654853,43.04766466675024,-20.165782573327025,-9.249632468846391,-9.803767511111083,-1.9718317427301688,-12.625483150786831,-434.444796653458,-434.452638437069,-157.177504679468,-157.184064006457,4.920793509463654,4.1160398290700435,9.036833338533697
3304,-31.805401402652063,70.57198182910369,-33.037244543372694,-9.347145307583585,-6.230039560393269,-0.48121059751013334,-10.324677118992133,-433.05337067289,-433.069748768975,-157.17408724006,-157.182783055186,10.277410460430392,5.456706376268394,15.734116836698785
3355,-17.3530469707308,50.4287688890303,-23.648743600406664,-13.226430713571366,-1.9897672812687874,-2.709156065014733,-8.49802289338478,-324.570875434406,-324.575909857737,-235.783230750358,-235.793659429984,3.159148336636091,6.544095267276598,9.70324360391269
3358,-18.930261599578913,49.86229450046764,-20.791174014662317,-6.886307605399839,-8.831700114953623,-1.5873511658883355,-7.166821785069423,-601.730820692584,-601.749032056693,-78.564102120546,-78.567194895224,11.427803514005632,1.9407454115933467,13.36854892559898
3407,-47.3547253519881,107.92287019685571,-57.2803632350835,-10.760646542456422,-1.621690931596017,-1.5280504538232664,-10.621463372335542,-505.470806253178,-505.5018622766,-157.168699113658,-157.18278576696,19.48794892401039,8.839508404848287,28.327457328858678
3449,-23.669785310841892,64.51937540432472,-32.45927612652456,-11.52465721114826,-6.8286741860073565,-1.5696483078626993,-11.529807181401894,-393.736859630935,-393.749257029554,-381.421841678921,-381.428687865453,7.779485087150946,4.2960469100432155,12.075531997194162
3452,-34.9151083111356,83.3583269080647,-46.001117825633315,-14.73027329515707,-4.884950412397949,-1.9323428225311676,-19.105318356814927,-401.014754308998,-401.045140242068,-235.776590634106,-235.793626972951,19.067460879650405,10.690464028588451,29.757924908238856
