model,fold,member,channel,MAE,RMSE,NMAE,R2
m2,2,4,barrier,11.411014949060549,15.728331166353616,0.3900157940803047,0.8140605375373484
m2,3,0,strain,9.90892295501171,14.464678503532369,0.38391295545646503,0.7935248034122213
m2,3,0,Pauli,42.5614220729241,64.40118814996065,0.49716739139030414,0.6974434345657204
m2,3,0,Velst,19.333541533885857,29.007070202895655,0.5039310657207104,0.6975728114129228
m2,3,0,oi,24.56646829385024,34.96564555453912,0.42138840773698116,0.7989366783353435
m2,3,0,disp,1.3675623622078161,1.8882865081885347,0.24056530942815182,0.9340269643544056
m2,3,0,barrier,10.956509510867107,15.897124730256913,0.4130425875428352,0.7835754700833738
m2,3,1,strain,11.880587721482302,16.996239813229003,0.4603034623866112,0.7149270446049009
m2,3,1,Pauli,41.13267555603614,63.09165995468683,0.4804779542389301,0.7096226552134286
m2,3,1,Velst,18.849757704979336,28.525924156600052,0.49132118252615903,0.7075224429858691
m2,3,1,oi,23.870317245141052,35.14138424560591,0.4094473351151005,0.796910495151433
m2,3,1,disp,1.0676361369207883,1.5562605211128688,0.18780585422107207,0.9551879007998463
m2,3,1,barrier,12.665140295544496,17.46241867699169,0.4774551889975699,0.7388571661946881
m2,3,2,strain,12.3147063599183,16.872889336584223,0.4771230269606203,0.7190498722525138
m2,3,2,Pauli,45.394799189689834,72.32345232750667,0.5302645634620883,0.6184274542975654
m2,3,2,Velst,21.227451113554146,31.848508830392223,0.5532960447747616,0.6354212878458605
m2,3,2,oi,27.71797220523541,41.56085029595026,0.4754461257333407,0.7159344291238954
m2,3,2,disp,1.0460840270687373,1.5882098388262478,0.1840146633264807,0.9533290703368723
m2,3,2,barrier,12.49537503050688,17.280352245466304,0.47105531463279304,0.7442742262751078
m2,3,3,strain,12.681626406999735,17.330528774788053,0.4913390381588921,0.7036029034019643
m2,3,3,Pauli,46.11207304856716,74.40331535445729,0.5386431644571278,0.5961655194757722
m2,3,3,Velst,21.346113889645306,33.57381912655628,0.5563890041848205,0.5948511663767424
m2,3,3,oi,27.263841949976406,41.83062680786737,0.46765643358550013,0.7122346520829343
m2,3,3,disp,1.1248460851418667,1.6837915016516243,0.19786954804338047,0.9475425332325107
m2,3,3,barrier,12.599246049920717,17.38385579342053,0.47497108311607233,0.7412016276005063
m2,3,4,strain,10.492050664547163,14.914995957601562,0.4065057522107366,0.7804686249640203
m2,3,4,Pauli,40.96057333701696,64.11643697903604,0.47846759821427365,0.7001130397198593
m2,3,4,Velst,18.447496145199505,28.56264886794831,0.4808361869984109,0.7067688780558694
m2,3,4,oi,23.72452215353648,35.49227690924004,0.40694651323170034,0.7928344803050276
m2,3,4,disp,1.4140109423643503,1.9336967836357317,0.24873599134119861,0.9308157181194503
m2,3,4,barrier,11.671157913712355,15.929847775338068,0.43998366993789756,0.782683565575434
m2,4,0,strain,11.482717054967697,15.630173913172245,0.514853523682985,0.6854322659224067
m2,4,0,Pauli,39.87966660658518,64.4314696573049,0.4970753200766922,0.6778418471822416
m2,4,0,Velst,18.95072271579351,28.471190716669696,0.5300729101221139,0.6690946624265708
m2,4,0,oi,24.450038059399677,37.16673437997318,0.4444948988737715,0.7562681006897964
m2,4,0,disp,1.1285762968353736,1.6368490723791431,0.20233654337943913,0.9444216240363311
m2,4,0,barrier,9.561517909169197,13.489735046208807,0.3709750064253672,0.8321982251665415
m2,4,1,strain,11.997708864127977,16.843185972757386,0.5379443432464034,0.6347123064863747
m2,4,1,Pauli,43.242553383876114,62.44288236501055,0.5389916188686069,0.6974208941579046
m2,4,1,Velst,19.396050055821735,27.12265878127669,0.5425292139067169,0.6996988245679182
m2,4,1,oi,26.71327801469045,37.900930001108286,0.48563997245648116,0.7465435787917649
m2,4,1,disp,1.1024792205828886,1.64626029474064,0.1976577350294462,0.9437806802169864
m2,4,1,barrier,10.229640418711382,13.907695815210229,0.39689732907590136,0.8216389266004993
m2,4,2,strain,11.749021104704111,18.75081920678675,0.5267938665235783,0.547282746523168
m2,4,2,Pauli,37.20638163578816,60.46992567055421,0.4637544802706815,0.7162395129433488
m2,4,2,Velst,17.79641431111556,28.03212427115269,0.4977856129872069,0.6792220326858555
m2,4,2,oi,22.945250479838787,35.26635308148398,0.41713827875815246,0.7805555166196148
m2,4,2,disp,1.089408352588996,1.6249822581991384,0.19531432744923277,0.9452245661202452
m2,4,2,barrier,9.74725609501967,13.022444544694547,0.37818141709612885,0.843622327819963
m2,4,3,strain,11.417916323320988,16.17419200770734,0.5119480366918978,0.6631537303639412
m2,4,3,Pauli,41.71157447191385,65.2570241563109,0.519908915891129,0.6695333926737246
m2,4,3,Velst,19.032125674761257,28.13040466245177,0.5323498419309797,0.6769687999939515
m2,4,3,oi,25.92013777448581,38.23203667052925,0.47122090325069943,0.7420957890688769
m2,4,3,disp,1.2406683031183023,1.8050373740171042,0.2224329331010306,0.9324133413724822
m2,4,3,barrier,10.96910628141501,14.667403633786307,0.42558768512331835,0.8016207711640158
m2,4,4,strain,11.853481620741196,18.665199346957152,0.5314775894186023,0.5514076960427372
m2,4,4,Pauli,36.82826209985293,59.53527416623232,0.45904145467780405,0.7249435919638886
m2,4,4,Velst,17.415058365234962,26.226629635691186,0.4871186606468178,0.7192126887959045
m2,4,4,oi,23.32001541287471,36.24385514434709,0.4239514011183934,0.7682219327839033
m2,4,4,disp,1.0616843266746936,1.6524603036391483,0.19034383180105047,0.9433564257495202
m2,4,4,barrier,9.786064421901337,13.372967414668995,0.37968713192624776,0.8350906486813974
m3,0,0,strain,9.559228289469033,13.436365333217998,0.4262692198718163,0.7519417199927868
m3,0,0,Pauli,25.758126465378293,37.91344457414324,0.35280188751592634,0.8664998409203428
m3,0,0,Velst,12.443406235640216,17.466951297401273,0.36230567321422374,0.8590207002574247
m3,0,0,oi,15.378190080831006,21.962565404531333,0.30471138511577134,0.8952212033829691
m3,0,0,disp,1.1002035968622583,1.554540402067639,0.18103513597617332,0.958517574995671
m3,0,0,barrier,9.842170402692382,13.296530131159242,0.343400245059021,0.8618264513342684
m3,0,1,strain,10.609479003461303,14.478481776636873,0.47310245148492697,0.7119710320782671
m3,0,1,Pauli,25.55989234158947,38.260010952694905,0.35008672990783063,0.8640480389943958
m3,0,1,Velst,13.198799440055895,18.374720474345068,0.38429991163130545,0.8439863445566709
m3,0,1,oi,15.292946412305163,21.744638929206975,0.30302232312783056,0.8972902500858636
