fold,method,channel,NMAE,RMSE,R2,slope
3,rf,barrier_sum,0.7705544518759045,38.60410690307617,0.25722831050500106,0.6651281773504769
3,rf,barrier_direct,0.5110968443239945,24.48608591965905,0.7011680276748926,0.7087328873348652
4,ridge,strain,0.8267178535021048,25.65089988708496,0.3624824830070611,0.6122198736835567
4,ridge,Pauli,0.9382065019596209,104.69117736816406,0.15557446271553532,0.2354491470140135
4,ridge,V_elst,0.9813689271399014,46.153011322021484,0.11773960964180108,0.19613707340871453
4,ridge,oi,0.9286218401270813,81.20960235595703,0.1581619189411113,0.24767515586752928
4,ridge,disp,0.2872056510854554,1.9328765869140625,0.9101935005251706,0.8971469243664095
4,ridge,barrier_sum,0.5187013960427735,22.43929100036621,0.7237521632855102,0.7022875683027829
4,ridge,barrier_direct,0.5187013369129726,22.439281463623047,0.7237524380407665,0.7022872935475266
4,lasso,strain,0.794945146495802,24.26319122314453,0.4295957602083794,0.545884234512261
4,lasso,Pauli,0.9574327220669508,104.4714584350586,0.15911529554465365,0.19024238061310686
4,lasso,V_elst,0.9945775602694992,46.36164855957031,0.10974485003965972,0.13559264991885514
4,lasso,oi,0.947611642994884,80.01408386230469,0.18276564781527704,0.2038877871413533
4,lasso,disp,0.2842737293168498,1.8828918933868408,0.9147782847237061,0.8910503561830182
4,lasso,barrier_sum,0.5658003520115308,23.788480758666992,0.6895340612442655,0.6669539873966467
4,lasso,barrier_direct,0.5095832850932708,22.0152645111084,0.7340938412290484,0.7003409273121781
4,enet,strain,0.8009746989389337,24.24527359008789,0.4304378374811243,0.3278899399084652
4,enet,Pauli,0.9589686227338504,104.17383575439453,0.16389951902185207,0.17937240472837862
4,enet,V_elst,1.0048492916597602,46.80138397216797,0.09277694623199129,0.1053270602330467
4,enet,oi,0.9640150871476764,80.38151550292969,0.17524265380041015,0.16709437160602778
4,enet,disp,0.2844529556144781,1.8812806606292725,0.9149240797476774,0.8953128903040573
4,enet,barrier_sum,0.6159385797471207,26.612207412719727,0.6114540575691392,0.6158849531602735
4,enet,barrier_direct,0.5088555155036564,22.030254364013672,0.7337316038991948,0.6987027815233025
4,krr,strain,0.8161022508671271,27.19405746459961,0.28346910215949106,0.27992438578920603
4,krr,Pauli,0.8574892464813595,102.67395782470703,0.18780223958478992,0.3579626358054404
4,krr,V_elst,0.8717715221970007,44.45520782470703,0.18145599426509973,0.33291127083796584
4,krr,oi,0.8796553684460485,84.24016571044922,0.09415855263615469,0.3052490505162581
4,krr,disp,0.27420285350402607,1.9200208187103271,0.9113841536176578,0.9099144378267268
4,krr,barrier_sum,0.5318828477810892,25.14626693725586,0.6530813747038551,0.7047714657214793
4,krr,barrier_direct,0.5145741950689767,23.67156982421875,0.6925781571549511,0.6968264778783003
4,gbm,strain,0.7441397283385699,22.590744018554688,0.5055208612343609,0.6815175829849344
4,gbm,Pauli,0.68456447504419,87.24562072753906,0.4135534828056686,0.46620259754498716
4,gbm,V_elst,0.6996582132147464,36.63058090209961,0.4442438178903665,0.4534747090235071
4,gbm,oi,0.6919893831183018,70.46359252929688,0.3662130051145088,0.4448825864088506
4,gbm,disp,0.22669749667449257,1.7466038465499878,0.926668879016652,0.9260916475307954
4,gbm,barrier_sum,0.6623100617752682,29.060842514038086,0.5366630116890777,0.7084807166320457
4,gbm,barrier_direct,0.4242988679823306,18.886426555064386,0.8043048034543717,0.7931922156063653
4,rf,strain,0.6915475993611414,20.91033363342285,0.5763484202680828,0.5237290232796469
4,rf,Pauli,0.7185495450372195,87.31964111328125,0.41255795539437135,0.4035362891842299
4,rf,V_elst,0.7416368738629727,37.39305877685547,0.4208665490702359,0.3989032998908112
